"ID","Operator","Short name","Contact email for complaints (this is the most important data to collect!)","Status","Company Number","Company's Registered Postal Address","Notes/Observations of Interest","URL","Number of Routes we think this operator runs (for sorting)","Non-functional URL - has list of routes"
2973,"Chambers Coaches","Chambers Coaches","info@chamberscoaches.co.uk",,327497,"KNOWLE HOUSE
BURES
SUFFOLK
CO8 5AB
",,,1,"http://transport.mysociety.org/operators/2973"
3340,"CHANDLERS COACH TRAVEL","CHANDLERS COACH TRAVEL",,,,,"No email found. See http://www.chandlerscoach.co.uk/DesktopDefault.aspx",,1,"http://transport.mysociety.org/operators/3340"
3582,"Charles MacLean","Charles MacLean",,,,,,,1,"http://transport.mysociety.org/operators/3582"
3459,"Charlton Minicoaches Ltd","Charlton Minicoaches",,,4399288,,,,3,"http://transport.mysociety.org/operators/3459"
3561,"CHARLTON MINICOACHES LTD","Charlton Minicoaches",,,4399288,,,,1,"http://transport.mysociety.org/operators/3561"
2981,"Charlton on Otmoor Services","Charlton on Otmoor Servi",,,,,,,4,"http://transport.mysociety.org/operators/2981"
3463,"Cheney Taxis","Cheney Taxis",,,5363913,,,,1,"http://transport.mysociety.org/operators/3463"
3347,"Cheney Taxis","Cheney Taxis",,,,,,,1,"http://transport.mysociety.org/operators/3347"
3069,"Chepstow Classic busses","Chepstow Classic busses",,,,,,,1,"http://transport.mysociety.org/operators/3069"
3361,"Chiltern Railway Co.","Chiltern Railway Co.",,,,,,,5,"http://transport.mysociety.org/operators/3361"
3232,"City Sightseeing (operated by Guide Friday)","City Sightseeing (operat",,,,,,,1,"http://transport.mysociety.org/operators/3232"
2726,"City Sprinter","City Sprinter",,,,,,,1,"http://transport.mysociety.org/operators/2726"
3872,"Claribel","CLARIBEL COACHES LIMITED","birmingham.intl@btconnect.com",,,,"http://www.claribelcoaches.co.uk/",,9,"http://transport.mysociety.org/operators/3872"
3649,"Clarkes Coaches","Clarkes Coaches","info@clarkescoaches.co.uk",,,,,,7,"http://transport.mysociety.org/operators/3649"
2626,"Clarkes Minibus","Clarkes Minibus",,,,,,,1,"http://transport.mysociety.org/operators/2626"
2621,"Clarkes of London","Clarkes of London",,,,,,,10,"http://transport.mysociety.org/operators/2621"
3875,"Classic Buses","Classic Buses",,,3092066,,,,18,"http://transport.mysociety.org/operators/3875"
3881,"Classic Coaches","Classic Coaches",,,,,,,9,"http://transport.mysociety.org/operators/3881"
2454,"Clearway","D.J.R. Wheeler & C.R.G.W",,,,,,,3,"http://transport.mysociety.org/operators/2454"
2967,"CLEGG & BROOKING LTD","CLEGG & BROOKING LTD",,,780708,,,,1,"http://transport.mysociety.org/operators/2967"
2634,"Clintona Minicoaches","Clintona Minicoaches",,,,,,,3,"http://transport.mysociety.org/operators/2634"
3939,"Clowes Coaches","Clowes Coaches","clowescoaches@btconnect.com",,,,,,16,"http://transport.mysociety.org/operators/3939"
3307,"Clowes Coaches","Clowes Coaches",,,,,,,3,"http://transport.mysociety.org/operators/3307"
3930,"Clyde Marine","Clyde Marine",,,,,,,5,"http://transport.mysociety.org/operators/3930"
3962,"ClydeLink","ClydeLink",,,,,,,1,"http://transport.mysociety.org/operators/3962"
1774,"Clydewide Taxis","Clydewide Taxis",,,,,,,1,"http://transport.mysociety.org/operators/1774"
1982,"Coach Express Ltd","Coach Express Ltd",,,5718015,,,,1,"http://transport.mysociety.org/operators/1982"
2453,"Coach Hire Executive Travel Ltd","Coach Hire Exec Travel",,,,,,,6,"http://transport.mysociety.org/operators/2453"
3362,"COACH HOUSE TRAVEL","COACH HOUSE TRAVEL",,,,,,"http://www.coachhousetravel.co.uk/",7,"http://transport.mysociety.org/operators/3362"
2167,"Coach Travel Wales","Coach Travel Wales",,,,,,,5,"http://transport.mysociety.org/operators/2167"
1830,"Coachlink Services","A & C COACHES",,,,,,,2,"http://transport.mysociety.org/operators/1830"
2034,"Coakley Bus Co","Coakley Bus Co",,,,,,,5,"http://transport.mysociety.org/operators/2034"
2639,"Coastal Coaches","Coastal Coaches",,,,,,,9,"http://transport.mysociety.org/operators/2639"
3924,"Coastal Liner Ltd","Coastal Liner Ltd",,,4142404,,,,1,"http://transport.mysociety.org/operators/3924"
2890,"Codsall Cars","Codsall Cars",,,,,,,2,"http://transport.mysociety.org/operators/2890"
1855,"Cofton Coaches & Euro Li","Cofton Coaches & Euro Li",,,,,,,2,"http://transport.mysociety.org/operators/1855"
2931,"Colchri Coaches","Colchri Coaches",,,,,,,3,"http://transport.mysociety.org/operators/2931"
2933,"Compass Royston","Compass Royston",,,,,,,14,"http://transport.mysociety.org/operators/2933"
2271,"Compass Travel","Compass Travel","office@compass-travel.co.uk",,4096610,"Faraday Close, Worthing, West Sussex. BN13 3RB",,,66,"http://transport.mysociety.org/operators/2271"
3623,"Compass Travel","Compass Travel",,,,,,,1,"http://transport.mysociety.org/operators/3623"
2275,"Compo","Compo",,,,,,,1,"http://transport.mysociety.org/operators/2275"
2937,"Coniston Coaches","Coniston Coaches",,,3544176,,,,1,"http://transport.mysociety.org/operators/2937"
3824,"Coniston Ferry","Coniston Ferry",,,5677016,,,,1,"http://transport.mysociety.org/operators/3824"
2666,"Connect Community Transport","Connect Community Transp",,,,,,,6,"http://transport.mysociety.org/operators/2666"
1888,"CONNECT2WILTSHIRE","CONNECT2WILTSHIRE",,,,,,,11,"http://transport.mysociety.org/operators/1888"
3386,"Constable Coaches","Constable Coaches",,,742659,,,,17,"http://transport.mysociety.org/operators/3386"
2609,"Coopers Tourmaster","Coopers Tourmaster",,,,,,,8,"http://transport.mysociety.org/operators/2609"
2944,"Copelands Tours","Copelands Tours",,,,,,,2,"http://transport.mysociety.org/operators/2944"
3474,"COTSWOLD GREEN","COTSWOLD GREEN",,,5900324,,,,31,"http://transport.mysociety.org/operators/3474"
2289,"Countryliner Coach Hire","Countryliner Coach Hire","info@countryliner-coaches.co.uk",,3505570,"Countryliner
GB House 
Merrow Lane 
Guildford 
Surrey GU4 7BQ",,,86,"http://transport.mysociety.org/operators/2289"
3420,"COUNTYWIDE TRAVEL (Fleet)","FLEET BUZZ",,,,,,,11,"http://transport.mysociety.org/operators/3420"
2304,"Courtney Coaches","Courtney Coaches","sales@courtneycoaches.com",,1128598,,,,23,"http://transport.mysociety.org/operators/2304"
3521,"Cozy Travel","Cozy Travel",,,,,,,3,"http://transport.mysociety.org/operators/3521"
3109,"Cranberry Coachways Ltd","Cranberry Coachways",,,,,,,3,"http://transport.mysociety.org/operators/3109"
3750,"Crieff Travel","Crieff Travel",,,,,"no email found online",,9,"http://transport.mysociety.org/operators/3750"
1904,"Cropley Brothers","Cropley Brothers",,,,,,,5,"http://transport.mysociety.org/operators/1904"
2762,"CrossCountry","CrossCountry","customer.relations@crosscountrytrains.co.uk",,,,,,15,"http://transport.mysociety.org/operators/2762"
2109,"Croston Mini Coaches","Croston Mini Coaches",,,,,,,4,"http://transport.mysociety.org/operators/2109"
2741,"Cuckmere Community Bus","Cuckmere Community Bus",,,6032000,,,,17,"http://transport.mysociety.org/operators/2741"
3253,"Cumbrae Coaches","Cumbrae Coaches",,,,,,,1,"http://transport.mysociety.org/operators/3253"
2585,"Cumbria Classic Coaches","Cumbria Classic Coaches",,,,,,,1,"http://transport.mysociety.org/operators/2585"
3713,"CUMFYBUS LTD","Cumfybus","cumfybus@aol.com",,4458742,,,,35,"http://transport.mysociety.org/operators/3713"
3423,"CW","CW",,,,,,,3,"http://transport.mysociety.org/operators/3423"
2117,"CYRIL BRUCE GOODRIDGE","Ladyline Service",,,,,,,2,"http://transport.mysociety.org/operators/2117"
3018,"D & G Coach & Bus","D & G Coach & Bus",,,,,,,1,"http://transport.mysociety.org/operators/3018"
2647,"D & G Coaches","D & G Coach & Bus Ltd","info@dgbus.co.uk",,,"D&G Bus,
Mossfield Road,
Stoke-on-Trent,
ST3 5BW.",,,26,"http://transport.mysociety.org/operators/2647"
3090,"D + E Coaches","D + E Coaches",,,,,,,7,"http://transport.mysociety.org/operators/3090"
2348,"D A Travel","D A Travel",,,,,,,4,"http://transport.mysociety.org/operators/2348"
3886,"D J Travel","D J Travel",,,,,,,3,"http://transport.mysociety.org/operators/3886"
3644,"D J Travel","D J Travel",,,,,,,1,"http://transport.mysociety.org/operators/3644"
2654,"D Jones & Son","D Jones & Son","info@djonesandson.co.uk",,,,,,8,"http://transport.mysociety.org/operators/2654"
3322,"D Jones & Son","D Jones & Son","info@djonesandson.co.uk",,,,,,1,"http://transport.mysociety.org/operators/3322"
3295,"D K Travel","D K Travel",,,,,,,1,"http://transport.mysociety.org/operators/3295"
2745,"Dacorum CVS","Dacorum CVS",,,,,,,3,"http://transport.mysociety.org/operators/2745"
3004,"Dales and District","Dales and District",,,,,,,18,"http://transport.mysociety.org/operators/3004"
3042,"DART PLEASURE CRAFT","DART PLEASURE CRAFT",,,,,,,5,"http://transport.mysociety.org/operators/3042"
3933,"DART VALLEY RAILWAY PLC","DART VALLEY RAILWAY PLC",,,852020,,,,1,"http://transport.mysociety.org/operators/3933"
3059,"DARTLINE COACHES","DARTLINE COACHES",,,,,,,11,"http://transport.mysociety.org/operators/3059"
1948,"Darwen Coach Services","Darwen Coach Services",,,,,,,14,"http://transport.mysociety.org/operators/1948"
3588,"DAVID BOLTON","G B Coaches",,,,,,,1,"http://transport.mysociety.org/operators/3588"
,"David Thompson Tours","David Thompson Tours Ltd","info@dorsetsprinter.com",,4495981," 11 Lincoln Avenue Christchurch BH23 2SG","Trades as Dorset Sprinter",,,
3868,"Davidson Buses","Davidson Buses",,,,,,,6,"http://transport.mysociety.org/operators/3868"
2353,"Davies of Plean","Davies of Plean",,,,,,,1,"http://transport.mysociety.org/operators/2353"
3024,"DAWLISH COACHES","DAWLISH COACHES",,,"695709 / 4933338",,,,1,"http://transport.mysociety.org/operators/3024"
2438,"Daytripper Coaches","Daytripper Coaches",,,,,,,3,"http://transport.mysociety.org/operators/2438"
2994,"DC","DC",,,,,,,1,"http://transport.mysociety.org/operators/2994"
2961,"De Courcey Travel","MIKE DE COURCEY LIMITED","buses@traveldecourcey.com",,1360645,,,,54,"http://transport.mysociety.org/operators/2961"
3342,"De Vere Travel","De Vere Travel",,,,,,,4,"http://transport.mysociety.org/operators/3342"
3775,"Deeside Community Transp","Deeside Community Transp",,,,,,,4,"http://transport.mysociety.org/operators/3775"
,"Delaine Buses","Delaine Buses",,,,,,,8,
3139,"Dents Coaches","Dents Coaches",,,,,,,5,"http://transport.mysociety.org/operators/3139"
3950,"Dial-A-Bus","CHELSTON LEISURE SERVICE",,,,,,,4,"http://transport.mysociety.org/operators/3950"
3897,"Diamond Bus","Diamond Bus",,,,"Diamond Bus Company,Hallbridge Way, Warley, West Midlands,B69 3HW",,,47,"http://transport.mysociety.org/operators/3897"
3948,"Dickinson Coaches","Dickinson Coaches",,,,,,,2,"http://transport.mysociety.org/operators/3948"
2749,"Dicksons Travel","Dicksons Travel",,,,,,,3,"http://transport.mysociety.org/operators/2749"
3478,"DISCOVER DORSET","DISCOVER DORSET","info@discoverdorset.co.uk",,6015535,,,,1,"http://transport.mysociety.org/operators/3478"
2598,"DMK Motors","DMK Motors",,,"SC256640",,,,1,"http://transport.mysociety.org/operators/2598"
2566,"Dochertys Midland Coache","Dochertys Midland Coache",,,,,,,14,"http://transport.mysociety.org/operators/2566"
2979,"Dockland Light Railway","DLR","cservice@dlr.co.uk",,,,,,1,"http://transport.mysociety.org/operators/2979"
3220,"Docklands Buses","DKB",,,,,,,5,"http://transport.mysociety.org/operators/3220"
1921,"Dolphin Autos (Norwich)","Dolphin Autos (Norwich)",,,,,,,1,"http://transport.mysociety.org/operators/1921"
3917,"Don Fraser Coaches","Don Fraser Coaches",,,,,,,5,"http://transport.mysociety.org/operators/3917"
3719,"Don Prentice","Don Prentice",,,"SC374081 / SL002183",,,,1,"http://transport.mysociety.org/operators/3719"
2569,"Donald MacDonald","Donald MacDonald",,,,,,,2,"http://transport.mysociety.org/operators/2569"
2384,"Door to Door","Door to Door",,,,,,,2,"http://transport.mysociety.org/operators/2384"
1975,"Doyles","Doyles",,,,,,,20,"http://transport.mysociety.org/operators/1975"
3662,"Drakes Travel Services L","Drakes Travel Services L",,,,,,,16,"http://transport.mysociety.org/operators/3662"
3078,"DRM Coaches","DRM Coaches, Bromyard",,,,,,,10,"http://transport.mysociety.org/operators/3078"
2021,"Dudley's Coaches","Dudley's Coaches, Inkber",,,,,,,7,"http://transport.mysociety.org/operators/2021"
2637,"Dukes Travel","Dukes Travel",,,,,,,3,"http://transport.mysociety.org/operators/2637"
3919,"Dulais Valley Partnership","DANSA",,,,,,,2,"http://transport.mysociety.org/operators/3919"
3792,"E + M Horsburgh","E + M Horsburgh",,,,,,,12,"http://transport.mysociety.org/operators/3792"
2854,"E Coaches","E Coaches",,,,,,,3,"http://transport.mysociety.org/operators/2854"
3148,"E Jones & Son","E Jones & Son",,,,,,,1,"http://transport.mysociety.org/operators/3148"
3632,"Eagle Travel","Eagle Travel",,,,,,,2,"http://transport.mysociety.org/operators/3632"
2756,"East cYorkshire Motor Services","East bYorks Motor Servcs","enquiries@eyms.co.uk",,3388656,,,,107,"http://transport.mysociety.org/operators/2756"
2711,"East Midlands Trains","East Midlands Trains","getintouch@eastmidlandstrains.co.uk",,5340682,"ETR",,,16,"http://transport.mysociety.org/operators/2711"
3550,"East Thames Buses","ETB",,,,,"Sold to London General in 2009",,9,"http://transport.mysociety.org/operators/3550"
2404,"Eastonways","Eastonways",,,3038204,,,,13,"http://transport.mysociety.org/operators/2404"
3304,"Easyway of Pencoed","Easyway of Pencoed",,,,,,,7,"http://transport.mysociety.org/operators/3304"
2270,"Eazibus","Eazibus",,,,,,,2,"http://transport.mysociety.org/operators/2270"
2587,"EAZIBUS (MINIMUM COST)","Eazibus",,,,,"http://eazibus.co.uk/",,9,"http://transport.mysociety.org/operators/2587"
2506,"Eden","Eden",,,,,,,1,"http://transport.mysociety.org/operators/2506"
2978,"Edward Thomas","Edward Thomas",,,,,,,5,"http://transport.mysociety.org/operators/2978"
2329,"Edwards Bro","Edwards Bro",,,,,,,3,"http://transport.mysociety.org/operators/2329"
3404,"Edwards Coaches","Edwards Coaches",,,4045308,,,,1,"http://transport.mysociety.org/operators/3404"
2751,"Eifion's Coaches","Eifion's Coaches",,,,,,,7,"http://transport.mysociety.org/operators/2751"
1902,"Elcock Reisen","Elcock Reisen",,,,,,,8,"http://transport.mysociety.org/operators/1902"
1934,"Elgar Coaches","Elgar Coaches",,,,,,,1,"http://transport.mysociety.org/operators/1934"
1955,"Elite Minibus Services","Elite Services",,,,,,,7,"http://transport.mysociety.org/operators/1955"
2459,"ELITE SERVICES LTD.","Elite Services",,,,,,,1,"http://transport.mysociety.org/operators/2459"
3127,"Elizabeth Yule","Elizabeth Yule",,,,,,,4,"http://transport.mysociety.org/operators/3127"
3739,"Emblings Coaches","Emblings Coaches",,,,,,,6,"http://transport.mysociety.org/operators/3739"
3522,"Emma's Coaches","Emma's Coaches",,,4644899,,,,1,"http://transport.mysociety.org/operators/3522"
2429,"Emsworth & District","Emsworth & District",,,,,,,10,"http://transport.mysociety.org/operators/2429"
3544,"Enterprise (AOL)","Enterprise (AOL)",,,,,,,7,"http://transport.mysociety.org/operators/3544"
2683,"ERLESTOKE, EDINGTON & CO","ERLESTOKE, EDINGTON & CO",,,,,,,3,"http://transport.mysociety.org/operators/2683"
2722,"Esk Valley Coaches","Esk Valley Coaches",,,4557569,,,,1,"http://transport.mysociety.org/operators/2722"
1990,"EST Bus Ltd.","EST Bus Ltd.",,,,,,,9,"http://transport.mysociety.org/operators/1990"
3526,"Eurolines - Irish Night Services","Eurolines - Irish Night",,,,,,,2,"http://transport.mysociety.org/operators/3526"
2742,"EUROTAXIS (BRISTOL) LTD","EUROTAXIS (BRISTOL) LTD",,,,,,,20,"http://transport.mysociety.org/operators/2742"
2908,"Eves Coaches","Eves Coaches",,,,,,,13,"http://transport.mysociety.org/operators/2908"
2561,"Ewen's Coach Hire","Ewen's Coach Hire",,,,,,,2,"http://transport.mysociety.org/operators/2561"
2156,"Excel Coaches","Excel Coaches",,,,,,,16,"http://transport.mysociety.org/operators/2156"
2418,"Express Motors","Express Motors",,,7112278,,,,16,"http://transport.mysociety.org/operators/2418"
2247,"Expressway of Rotherham","Expressway of Rotherham",,,,,,,1,"http://transport.mysociety.org/operators/2247"
3083,"F E Finch Coaches","F E Finches",,,,,,,4,"http://transport.mysociety.org/operators/3083"
2488,"Fairway Coaches","Fairway Coaches",,,"SC333672",,,,1,"http://transport.mysociety.org/operators/2488"
3729,"FAIRWAY TRAVEL","Fairway Travel","Fairwaytravel1@aol.co.uk",,,,,,2,"http://transport.mysociety.org/operators/3729"
3371,"Far East Travel","Far East Travel",,,5389220,,,,10,"http://transport.mysociety.org/operators/3371"
2306,"Fareline Bus & Coach Services","Fareline Bus & Coach Ser",,,,,,,5,"http://transport.mysociety.org/operators/2306"
2548,"FARESAVER","FARESAVER","enquiries@faresaver.co.uk",,,,,,29,"http://transport.mysociety.org/operators/2548"
2020,"Fargo Coaches","Fargo Coaches",,,4281500,,,,1,"http://transport.mysociety.org/operators/2020"
2050,"Faringdon Community Bus","Faringdon Community Bus",,,,,,,2,"http://transport.mysociety.org/operators/2050"
2052,"Farleigh Coaches","Farleigh Coaches",,,,,,,5,"http://transport.mysociety.org/operators/2052"
2328,"Fastrack (operated by Arriva Kent Thameside)","Fastrack (operated by Ar",,,,,,,2,"http://transport.mysociety.org/operators/2328"
1978,"Fastway (operated by Metrobus)","Fastway (operated by Met",,,,,,,3,"http://transport.mysociety.org/operators/1978"
3186,"Felix","Felix",,,,,,,9,"http://transport.mysociety.org/operators/3186"
2415,"Felix Taxis & Co.","Felix Taxis & Co.",,,,,,,3,"http://transport.mysociety.org/operators/2415"
3335,"Fellrunner","Fellrunner",,,,,,,11,"http://transport.mysociety.org/operators/3335"
2806,"Fereneze Travel","Fereneze Travel",,,,,,,1,"http://transport.mysociety.org/operators/2806"
1966,"Ferryhill Village Travel","Ferryhill Village Travel",,,,,,,1,"http://transport.mysociety.org/operators/1966"
3231,"Ffoshelig Coaches","Ffoshelig Coaches",,,,,,,1,"http://transport.mysociety.org/operators/3231"
2688,"FILERS TRAVEL","FILERS TRAVEL",,,,,,,8,"http://transport.mysociety.org/operators/2688"
1983,"Finesse Coaches Ltd","Finesse Coaches Ltd",,,5855064,,,,1,"http://transport.mysociety.org/operators/1983"
2134,"FINGLANDS SOUTH M/CR C'WAYS","Finglands","buses@finglands.co.uk",,243051,"261 Wilmslow Rd, Manchester, Greater Manchester M145LJ, United Kingdom","Small indepdent bus/coach company. Lovely people",,6,"http://transport.mysociety.org/operators/2134"
2990,"First","FST",,,,,,,86,"http://transport.mysociety.org/operators/2990"
1821,"FIRST","FIRST",,,,,,,2,"http://transport.mysociety.org/operators/1821"
3894,"First (in the Essex area)","First (in the Essex area",,,"05922752 / 01961457",,,,136,"http://transport.mysociety.org/operators/3894"
2326,"First (in the Essex area)","FE",,,,,,,1,"http://transport.mysociety.org/operators/2326"
2091,"First (in the London area)","First (in the London are",,,,,,,2,"http://transport.mysociety.org/operators/2091"
2373,"First (in the Northampton area)","First (in the Northampto",,,,,,,16,"http://transport.mysociety.org/operators/2373"
2073,"First (in the Thames Valley)","First (in the Thames Val",,,,,"The Operations Manager
First
Coldborough House
Market Street
Bracknell
RG12 1JA",,37,"http://transport.mysociety.org/operators/2073"
3228,"First (Manchester) Ltd","First Ltd",,,,,,,3,"http://transport.mysociety.org/operators/3228"
2927,"First Borders","First Borders",,,,,,,1,"http://transport.mysociety.org/operators/2927"
1925,"First Bradford","First Bradford",,,,,,,58,"http://transport.mysociety.org/operators/1925"
2310,"First Bradford","First Bradford",,,,,,,1,"http://transport.mysociety.org/operators/2310"
1792,"First Calderdale & Hudds","First Calderdale and Hud",,"x",,,"As with all first sites there is no email address, just a contact us form","http://www.firstgroup.com/ukbus/calderdale_huddersfield/help_contact/contact_us/",119,"http://transport.mysociety.org/operators/1792"
3909,"First Call","First Call",,,,,,,5,"http://transport.mysociety.org/operators/3909"
2319,"First Capital Connect","First Capital Connect","customer.relations.fcc@firstgroup.com",,,"Freepost RRBR-REEJ-KTKY, First Capital Connect, Customer Relations Department, PO Box 443, PLYMOUTH PL4 6WP","Source: https://www.firstcapitalconnect.co.uk/Main.php?iCmsPageId=85",,8,"http://transport.mysociety.org/operators/2319"
2188,"First Chester","First",,,,,,,6,"http://transport.mysociety.org/operators/2188"
2862,"FIRST CROSVILLE - PMT LTD","First Crosville",,,,,,,6,"http://transport.mysociety.org/operators/2862"
2532,"FIRST CROSVILLE - PMT LTD","First Crosville",,,,,,,4,"http://transport.mysociety.org/operators/2532"
3098,"FIRST Devon & Cornwall","FIRST ",,,,"First Devon and Cornwall
The Ride
Chelson Meadow
Plymouth
PL9 7JT",,,62,"http://transport.mysociety.org/operators/3098"
,"First Eastern Counties","First Eastern","contactus.fec@firstgroup.com",,257815,"First, Rouen House, Rouen Road, Norwich, NR1 1RB",,,68,
2053,"First Great Western","First Great Western",,,4804687,,,,38,"http://transport.mysociety.org/operators/2053"
2385,"First Hampshire & Dorset","First","contacthampshire@firstgroup.com",,1999120,"First Hampshire & Dorset Ltd
Empress Road
Southampton
SO14 0JW","Hampshire & Dorset is the same company although separate email contacts.",,161,"http://transport.mysociety.org/operators/2385"
2486,"First in Aberdeen","First Aberdeen",,,157176,"FirstGroup plc, 395 King St, Aberdeen AB24 5RP","Enquiry in progress",,28,"http://transport.mysociety.org/operators/2486"
2673,"First in Glasgow","First in Glasgow","contact.glasgow@firstgroup.com",,,"First
197 Victoria Road
Glasgow
G42 7AD ",,,141,"http://transport.mysociety.org/operators/2673"
3284,"First in Scotland East","First in Scotland East","contact.scotlandeast@firstgroup.com",,"SC091923",,,,226,"http://transport.mysociety.org/operators/3284"
2370,"First Mainline","First Mainline",,,,,,,20,"http://transport.mysociety.org/operators/2370"
2770,"First Manchester","First Manchester",,,,,,,5,"http://transport.mysociety.org/operators/2770"
2677,"First Manchester","First in Manchester",,,,,,,1,"http://transport.mysociety.org/operators/2677"
3601,"FIRST MANCHESTER LTD.","First",,,,,,,139,"http://transport.mysociety.org/operators/3601"
2849,"First Midland Red","First Midland Red Buses",,,1556327,,,,83,"http://transport.mysociety.org/operators/2849"
3938,"FIRST PIONEER LTD.","First Pioneer",,,,"Wallshaw St, Oldham, Lancashire OL1 3TR",,,15,"http://transport.mysociety.org/operators/3938"
3677,"First Potteries Limited","First",,,,,,,8,"http://transport.mysociety.org/operators/3677"
3860,"First Potteries Ltd","First Potteries Ltd",,,2291753,,,,40,"http://transport.mysociety.org/operators/3860"
2171,"First Potteries Ltd, Chester City Transport","First Chester",,,,,,,12,"http://transport.mysociety.org/operators/2171"
2330,"First Scotrail","First Scotrail","scotrailcustomer.relations@firstgroup.com",,"SC185018","PO BOX 7030, Fort William, PH33 6WX",,,44,"http://transport.mysociety.org/operators/2330"
2858,"First Somerset & Avon","First Somerset & Avon",,,,,,,3,"http://transport.mysociety.org/operators/2858"
3011,"First South Yorkshire Ltd","First South Yorkshire Lt","southyorks.enquiry@firstgroup.com",,2332529,"Midland Road
Rotherham
South Yorkshire
S61 1TF ",,,156,"http://transport.mysociety.org/operators/3011"
3256,"First TransPennine Express","First TransPennine Expre","tpecustomer.relations@firstgroup.com",,,,,,13,"http://transport.mysociety.org/operators/3256"
2769,"First West Yorkshire","First Halifax",,,,,,,3,"http://transport.mysociety.org/operators/2769"
2422,"First York","First York",,,,,,,21,"http://transport.mysociety.org/operators/2422"
2092,"FIRST YORKSHIRE WEST","First Yorkshire West",,,,,,,2,"http://transport.mysociety.org/operators/2092"
2950,"Fisher Tours","Fisher Tours","fisherstours@btconnect.com",,,"Fishers Tours, 16 Westport, Dundee, DD1 5EP",,,47,"http://transport.mysociety.org/operators/2950"
2300,"Fleet Buzz (formerly Countywide Travel)","Fleet Buzz (formerly Cou",,,,,,,8,"http://transport.mysociety.org/operators/2300"
2257,"FLUSHING FERRY","FLUSHING FERRY",,,"5861381 / 5947312",,,,1,"http://transport.mysociety.org/operators/2257"
3926,"Fords Coaches","Fords Coaches",,,,,,,1,"http://transport.mysociety.org/operators/3926"
3306,"Forres Taxis + Minicoach","Forres Taxis + Minicoach",,,,,,,2,"http://transport.mysociety.org/operators/3306"
3929,"Four Counties Buses","Four Counties Buses",,,,,,,8,"http://transport.mysociety.org/operators/3929"
3472,"FOUR TOWNS & VALE LINK C","FOUR TOWNS & VALE LINK C",,,,,,,2,"http://transport.mysociety.org/operators/3472"
2198,"Fowlers Travel","Fowlers Travel",,,,,,,11,"http://transport.mysociety.org/operators/2198"
3562,"Fraser Eagle Coaching","Fraser Eagle",,,,,,,3,"http://transport.mysociety.org/operators/3562"
3245,"Fred's of Ilkeston","Fred's of Ilkeston",,,,,,,1,"http://transport.mysociety.org/operators/3245"
3339,"Freeway Coaches","Freeway Coaches",,,,,,,4,"http://transport.mysociety.org/operators/3339"
2833,"G & J Holmes Coaches","G & J Holmes Coaches","gj.holmes@tiscali.co.uk",,,,,,21,"http://transport.mysociety.org/operators/2833"
2064,"G Evans","G Evans",,,,,,,1,"http://transport.mysociety.org/operators/2064"
2317,"Galloway European","Galloway European","ipswich@gallowayeuropean.co.uk",,1185283,,,,23,"http://transport.mysociety.org/operators/2317"
3699,"Galson Motors","Galson Motors",,,,,,,3,"http://transport.mysociety.org/operators/3699"
3725,"Gardiner's","Gardiner's",,,,,,,3,"http://transport.mysociety.org/operators/3725"
2983,"Gastonia Coaches Ltd","Gastonia",,,796855,,,,1,"http://transport.mysociety.org/operators/2983"
2062,"Gatwick Express","Gatwick Express","customerservices@gatwickexpress.co.uk",,6574965,"Southern, Go-Ahead House, 26-28 Addiscombe Road, Croydon, CR9 5GA","Gatwick Express is managed and operated by Southern, the trading name for Southern Railway Limited, which is a wholly owned subsidiary of GOVIA Limited and is part of the Go-Ahead Group Rail Division",,1,"http://transport.mysociety.org/operators/2062"
3656,"Geoff Amos Coaches","Geoff Amos Coaches",,,,,,,3,"http://transport.mysociety.org/operators/3656"
1965,"Geoff Amos Coaches","Geoff Amos Coaches",,,,,,,3,"http://transport.mysociety.org/operators/1965"
2013,"Geoff Moore Contracting","Geoff Moore Contracting",,,,,,,2,"http://transport.mysociety.org/operators/2013"
3408,"George Bell Travel","George Bell Travel",,,,,,,3,"http://transport.mysociety.org/operators/3408"
2483,"George Young","YOUNGS",,,,,,,4,"http://transport.mysociety.org/operators/2483"
3545,"George Young's Coaches","George Youngs Coaches, N",,,,,,,11,"http://transport.mysociety.org/operators/3545"
1949,"George Young's Coaches","George Young's Coaches",,,,,,,1,"http://transport.mysociety.org/operators/1949"
2259,"GHA Coaches","GHA Coaches",,,,,,,12,"http://transport.mysociety.org/operators/2259"
3471,"GHA Coaches","GHA Coaches","enquirys@ghacoaches.co.uk",,,,,,2,"http://transport.mysociety.org/operators/3471"
3196,"Gibson Direct","Gibson Direct",,,,,,,3,"http://transport.mysociety.org/operators/3196"
3687,"Gillen Coaches","Gillen Coaches",,,,,,,2,"http://transport.mysociety.org/operators/3687"
3873,"Glamorgan Bus & Coach","Glamorgan Bus & Coach",,,2788861,,,,16,"http://transport.mysociety.org/operators/3873"
3351,"Glasgow Citybus","Glasgow Citybus",,,,,,,8,"http://transport.mysociety.org/operators/3351"
3159,"Glen Valley Tours","Glen Valley Tours",,,5694445,,,,10,"http://transport.mysociety.org/operators/3159"
3652,"Glenesk Travel Company","Glenesk Travel Company",,,,,"No email address found",,1,"http://transport.mysociety.org/operators/3652"
2183,"Glenkens Transport Initi","Glenkens Transport Initi",,,,,,,2,"http://transport.mysociety.org/operators/2183"
3899,"Globe","Globe of Barnsley",,,,,,,3,"http://transport.mysociety.org/operators/3899"
